id,[reid]
ICDHyr,akg_c
ICL,succ_c
ICL,glx_c
LDH_D,lac__D_c
LDH_D,pyr_c
MALS,mal__L_c
MALS,coa_c
MALt2_2,mal__L_c
MDH,mal__L_c
MDH,oaa_c
ME1,pyr_c
ME1,co2_c
ME2,pyr_c
ME2,co2_c
NADH16,q8h2_c
NH4t,nh4_e
PDH,co2_c
PDH,accoa_c
PFK,fdp_c
PFL,for_c
PFL,accoa_c
PGI,f6p_c
PGI,g6p_c
PGK,13dpg_c
PGK,3pg_c
PGL,6pgc_c
PGM,3pg_c
PGM,2pg_c
PIt2r,pi_e
PPC,oaa_c
PPCK,pep_c
PPCK,co2_c
PPS,pep_c
PTAr,accoa_c
PTAr,coa_c
PTAr,actp_c
PYK,pyr_c
PYRt2,pyr_e
PYRt2,pyr_c
RPE,xu5p__D_c
RPE,ru5p__D_c
RPI,ru5p__D_c
RPI,r5p_c
SUCCt2_2,succ_c
SUCCt3,succ_e
SUCDi,q8h2_c
SUCDi,fum_c
SUCOAS,succ_c
SUCOAS,coa_c
SUCOAS,succoa_c
TALA,s7p_c
TALA,g3p_c
TALA,f6p_c
TALA,e4p_c
TKT1,xu5p__D_c
TKT1,r5p_c
TKT1,s7p_c
TKT1,g3p_c
TKT2,xu5p__D_c
TKT2,e4p_c
TKT2,g3p_c
TKT2,f6p_c
TPI,g3p_c
TPI,dhap_c
